T=5 ns | rst=1 | nicEn=0 wr=0 addr=00 | out_stat=x in_stat=x | net_so=0 net_ro=0 net_ri=x | VC=x pol=0
T=15 ns | rst=1 | nicEn=0 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=25 ns | rst=0 | nicEn=0 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=35 ns | rst=0 | nicEn=0 wr=0 addr=00 | out_stat=0 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=45 ns | rst=0 | nicEn=1 wr=1 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=1 net_ri=1 | VC=0 pol=0
T=55 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=1 net_ro=1 net_ri=1 | VC=0 pol=0
T=65 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=1 net_ri=1 | VC=0 pol=0
T=75 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=1 net_ri=1 | VC=0 pol=0
T=85 ns | rst=1 | nicEn=1 wr=0 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=1 net_ri=1 | VC=0 pol=0
T=95 ns | rst=0 | nicEn=1 wr=1 addr=10 | out_stat=0 in_stat=0 | net_so=0 net_ro=1 net_ri=1 | VC=0 pol=0
T=105 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=115 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=125 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
T=135 ns | rst=0 | nicEn=1 wr=0 addr=10 | out_stat=1 in_stat=0 | net_so=0 net_ro=0 net_ri=1 | VC=0 pol=0
